编码,名称,类别,品牌,主单位,副单位,容量,牌价,库存上限,下限,代码,简码,产地,功效,用法,成分,备注
,550储值卡,卡类,香蔓,张,张,1,0,100,3,C005,C005,,,,,
,皇冠卡,卡类,香蔓,张,张,1,0,100,3,C004,C004,,,,,
,蓝钻卡,卡类,香蔓,张,张,1,0,100,3,C003,C003,,,,,
,白金卡,卡类,香蔓,张,张,1,0,100,3,C002,C002,,,,,
,翡翠卡,卡类,香蔓,张,张,1,0,100,3,C001,,,,,,
6951032401263,香蔓5.5至爱防晒乳Ⅱ号,制成品,香蔓,支,支,0,0,100,3,CASC10014,,,,,,
6942804301621,CE211胶原蛋白洗颜乳(500毫升),制成品,香蔓,瓶,毫升,500,880,100,3,CAEH10012,,,,,,
69428043301423,CS11024H水氧动力组,制成品,香蔓,套,件,4,980,100,3,CASS10004,,,,,,
6942804301829,CS209悦肌养颜组,制成品,香蔓,套,,0,260,100,3,CASS20008,,,,,,
6942804301751,CA109净颜平衡乳80毫升（09升级版）,制成品,香蔓,瓶,毫升,80,0,100,3,CAAH10015,,,,,,
6942804301737,迎春喜礼礼包,制成品,香蔓,套,,0,680,100,3,CASB10013,,,,,,
6942804301720,香蔓5.5水凝柔润套,制成品,香蔓,套,,0,0,100,3,CASS20007,,,,,,
6942804301713,冬之浓情套组,制成品,香蔓,套,,0,230,100,3,CASS20005,,,,,,
6942804301690,CB118清爽四季面部防晒乳30毫升,制成品,香蔓,瓶,,0,70,100,3,CABH10018,,,,,,
6942804301652,膜术一族感谢装(2片装),制成品,香蔓,袋,,0,420,100,3,CASB10012,,,,,,
6942804301638,CB202蔓越橘平衡水,制成品,香蔓,瓶,毫升,500,490,100,3,CABR20002,,,,,,
6942804301614,CB201蔓越橘洗颜乳(500毫升),制成品,香蔓,瓶,毫升,500,490,100,3,CABR20001,,,,,,
6942804301607,CF201柔和卸妆乳,制成品,香蔓,瓶,毫升,500,520,100,3,CAFR20001,,,,,,
6942804301478,CD112草萃全效修护冰膜,制成品,香蔓,盒,片,10,350,100,3,CADH10010,,,,,,
6942804301461,CB112透白修颜隔离乳30毫升（09升级版）,制成品,香蔓,瓶,毫升,30,230,100,3,CABH10024,,,,,,
6942804301447,CC11324H动力水膜,制成品,香蔓,盒,片,10,350,100,3,CACH10015,,,,,,
6942804301409,CS205香氛减压套,制成品,香蔓,套,件,3,1280,100,3,CASS20003,,,,,,
6942804301393,CM109明星产品体验组,制成品,香蔓,套,件,10,1000,100,3,CASM10003,,,,,,
6942804301355,CG115玫瑰香氛油,制成品,香蔓,瓶,毫升,100,350,100,3,CAGH10015,,,,,,
6942804300914,CM116持久舒缓嫩白冰膜(感谢装),制成品,香蔓,盒,支,0,350,100,3,CASB10002,,,,,,
