编码,名称,类别,品牌,主单位,副单位,容量,牌价,库存上限,下限,代码,简码,产地,功效,用法,成分,备注
6942804300563,面部排毒醒肤套体验装,制成品,香蔓5.5,套,,0,0,100,3,CASC10003,,,,,,
,550储值卡,卡类,香蔓5.5,张,张,1,0,100,3,C005,C005,,,,,
,皇冠卡,卡类,香蔓5.5,张,张,1,0,100,3,C004,C004,,,,,
,蓝钻卡,卡类,香蔓5.5,张,张,1,0,100,3,C003,C003,,,,,
,白金卡,卡类,香蔓5.5,张,张,1,0,100,3,C002,C002,,,,,
,翡翠卡,卡类,香蔓5.5,张,张,1,0,100,3,C001,C001,,,,,
,身体温灸棒,制成品,香蔓5.5,支,支,1,450,0,0,,,,,,,
,牛角棒,制成品,香蔓5.5,对,支,2,38,0,0,,,,,,,
,舒润抚痕眼膜贴,制成品,香蔓5.5,盒,片,10,350,0,0,,,,,,,
,至爱防晒+草膜,商品,香蔓5.5,套,毫升,40,696,0,0,,,,,,,
,至爱防晒1/2号,商品,香蔓5.5,套,毫升,40,346,0,0,,,,,,,
,至爱防晒2号,商品,香蔓5.5,支,毫升,40,178,0,0,,,,,,,
,至爱防晒1号,商品,香蔓5.5,支,毫升,40,168,0,0,,,,,,,
,银杏精华素,制成品,香蔓5.5,支,支,0,180,0,0,,,,,,,
,身体温灸条,制成品,香蔓5.5,盒,支,8,110,0,0,cl209,,,,,,
,面部温灸条,制成品,香蔓5.5,盒,支,12,110,0,0,cl207,,,,,,
6942804301621,CE211胶原蛋白洗颜乳(500ml),制成品,香蔓5.5,瓶,毫升,500,880,100,3,CAEH10012,,,,,,(500ml)
6942804301423,CS11024H水氧动力组,制成品,香蔓5.5,套,件,4,980,100,3,CASS10004,,,,,,4件套
6951032400792,CS209悦肌养颜组,制成品,香蔓5.5,套,,0,260,100,3,CASS20008,,,,,,
6942804301751,CA109净颜平衡乳80ml（09升级版）,制成品,香蔓5.5,瓶,毫升,80,0,100,3,CAAH10015,,,,,,80ml
6942804301737,迎春喜礼礼包,制成品,香蔓5.5,套,,0,680,100,3,CASB10013,,,,,,
6942804301720,香蔓5.5水凝柔润套,制成品,香蔓5.5,套,,0,0,100,3,CASS20007,,,,,,
6942804301713,冬之浓情套组,制成品,香蔓5.5,套,,0,230,100,3,CASS20005,,,,,,
6942804301690,CB118清爽四季面部防晒乳30ml,制成品,香蔓5.5,支,毫升,0,70,100,3,CABH10018,,,,,,30ml
6942804301652,膜术一族感谢装(2片装),制成品,香蔓5.5,袋,,0,420,100,3,CASB10012,,,,,,
6942804301638,CB202蔓越橘平衡水,制成品,香蔓5.5,瓶,毫升,500,490,100,3,CABR20002,,,,,,500ml
6942804301614,CB201蔓越橘洗颜乳(500ml),制成品,香蔓5.5,瓶,毫升,500,490,100,3,CABR20001,,,,,,500ml
6951032400570,CF201柔和卸妆乳,制成品,香蔓5.5,瓶,毫升,500,520,100,3,CAFR20001,,,,,,500ml
6951032401003,CD112柔瞬静肤草膜,制成品,香蔓5.5,盒,片,10,350,100,3,CADH10010,,,,,,10片/盒
6951032400419,CB112透白修颜隔离乳30ml（09升级版）,制成品,香蔓5.5,瓶,毫升,30,230,100,3,CABH10024,,,,,,30ml
6951032400990,CC113持久盈润水膜,制成品,香蔓5.5,盒,片,10,350,100,3,CACH10015,,,,,,10片/盒
6951032401171,CS205肩颈、背部舒缓套,制成品,香蔓5.5,套,件,3,1280,100,3,CASS20003,,,,,,3件套
6942804301393,CM109明星产品体验组,制成品,香蔓5.5,套,件,10,1000,100,3,CASM10003,,,,,,10件套
6951032400679,CG115玫瑰香氛油,制成品,香蔓5.5,瓶,,100,350,100,3,CAGH10015,,,,,,100ml
6942804300914,CM116持久舒缓嫩白冰膜(感谢装),制成品,香蔓5.5,盒,,0,350,100,3,CASB10002,,,,,,
6951032400969,CF208香草唇眸软膜,制成品,香蔓5.5,瓶,,250,450,100,3,CAFR20002,,,,,,250g
6951032401249,CD208晶莹舒缓软膜,制成品,香蔓5.5,瓶,,500,590,100,3,CADR20004,,,,,,500g
6942804300884,CN202*身体温炙棒,制成品,香蔓5.5,支,支,8,440,100,3,CANR20002,,,,,,8支/盒
6942804300860,CN201*面部温炙棒,制成品,香蔓5.5,支,支,12,340,100,3,CANR20001,,,,,,12支/盒
6942804300846,CB203亮泽皙白霜,制成品,香蔓5.5,支,,250,660,100,3,CABR20005,,,,,,
6951032400976,CC209丝柔水凝保湿乳（院装）,制成品,香蔓5.5,瓶,毫升,500,660,100,3,CACR20005,,,,,,500ml
6951032400952,CC208丝柔水凝软膜（院装）,制成品,香蔓5.5,瓶,,500,590,100,3,CACR20004,,,,,,500g
6951032401232,CD207晶莹舒缓面膜,制成品,香蔓5.5,瓶,,250,490,100,3,CADR20003,,,,,,250g
6951032400945,CC207丝柔水凝面膜,制成品,香蔓5.5,瓶,,250,420,100,3,CACR20003,,,,,,250g
6942804300778,CG201葡萄籽基底油,制成品,香蔓5.5,瓶,,500,660,100,3,CAGR20001,,,,,,500ML
6951032401218,CD202甘菊舒缓平衡水（院装）,制成品,香蔓5.5,瓶,毫升,500,420,100,3,CADR20002,,,,,,500ml
6951032400914,CC202玫瑰保湿平衡水,制成品,香蔓5.5,瓶,毫升,500,420,100,3,CACR20002,,,,,,500ml
6951032400891,CI202角质者喱,制成品,香蔓5.5,瓶,,250,400,100,3,CAIR20002,,,,,,250g
6942804300716,CL201死海调理细盐,制成品,香蔓5.5,瓶,,250,360,100,3,CALR20001,,,,,,250g
6951032400877,CC201玫瑰保湿洗颜乳,制成品,香蔓5.5,瓶,毫升,500,470,100,3,CACR20001,,,,,,500ml
6951032400853,CF102清爽卸妆液(09升级版),制成品,香蔓5.5,瓶,毫升,150,230,100,3,CAFH10021,,,,,,150ml
6942804300686,CM115水凝保湿精华迷你组,制成品,香蔓5.5,套,,0,1500,100,3,CASM10006,,,,,,
6942804300662,CM113胶原蛋白洗颜乳迷你组,制成品,香蔓5.5,盒,,0,400,100,3,CASM10007,,,,,,
6942804300648,CM111迷你丝柔水凝护理套(2007版),制成品,香蔓5.5,套,件,6,680,100,3,CASM10005,,,,,,6件套
6942804300631,CN204*滑罐器,制成品,香蔓5.5,套,套,0,135,100,3,CANR20004,,,,,,套
6951032400778,CS202香蔓水凝丝柔个人护理套(升级版),制成品,香蔓5.5,套,件,6,1200,100,3,CASC20004,,,,,,6件套
6942804300594,CS108明眸滋养祛皱疗程,制成品,香蔓5.5,套,,0,1380,100,3,CASS10003,,,,,,
6942804300587,CS107明眸祛黑护理套,制成品,香蔓5.5,套,,0,1380,100,3,CASS10002,,,,,,
6951032401164,CS103女性特殊护理套,制成品,香蔓5.5,套,件,5,2300,100,3,CASC10004,,,,,,（15ml*4新）5件套
6951032401157,CS102面部调理醒肤套,制成品,香蔓5.5,套,件,4,1280,100,3,CASC10002,,,,,,4件套
6951032401140,CS101背部疏通调理套,制成品,香蔓5.5,套,件,4,1280,100,3,CASC10001,,,,,,4件套
6951032400662,CG110美胸紧实精油,制成品,香蔓5.5,瓶,,30,570,100,3,CAGH10010,,,,,,30ML
6951032401133,CG109美胸滋润精油,制成品,香蔓5.5,瓶,,30,570,100,3,CAGH10009,,,,,,30ML
6951032401126,CG104肌肉放松精油,制成品,香蔓5.5,瓶,,30,550,100,3,CAGH10004,,,,,,30ML
